epoch,train_acc,loss,test_acc,precision,recall,f1
1,0.79175,0.2175283443991193,0.8157894736842105,0.3561643835616438,0.7428571428571429,0.48148148148148145
2,0.851625,0.15670660090663455,0.8075657894736842,0.9246575342465754,0.5601659751037344,0.6976744186046511
3,0.84375,0.15948184162626514,0.8634868421052632,0.547945205479452,0.8247422680412371,0.6584362139917695
4,0.86425,0.145709636763846,0.8717105263157895,0.773972602739726,0.7151898734177216,0.743421052631579
5,0.874875,0.13596603281439956,0.881578947368421,0.7328767123287672,0.7642857142857142,0.7482517482517482
6,0.88625,0.12860350941288037,0.881578947368421,0.7465753424657534,0.7569444444444444,0.7517241379310345
7,0.884375,0.13037815985416754,0.8963815789473685,0.6164383561643836,0.9278350515463918,0.7407407407407407
8,0.89125,0.12363374055252657,0.9095394736842105,0.7054794520547946,0.8956521739130435,0.7892720306513411
9,0.8975,0.11770992581017967,0.8980263157894737,0.6986301369863014,0.85,0.7669172932330827
10,0.896625,0.11957073020717161,0.8980263157894737,0.6232876712328768,0.9285714285714286,0.7459016393442623
11,0.89425,0.12241202675816328,0.9046052631578947,0.6643835616438356,0.9150943396226415,0.7698412698412698
12,0.89725,0.11773224093924536,0.912828947368421,0.773972602739726,0.849624060150376,0.8100358422939068
13,0.9065,0.11079883507739005,0.912828947368421,0.7328767123287672,0.8842975206611571,0.801498127340824
14,0.90425,0.11219957348772498,0.9111842105263158,0.726027397260274,0.8833333333333333,0.7969924812030076
15,0.90325,0.11509431401640435,0.8799342105263158,0.863013698630137,0.7039106145251397,0.7753846153846156
16,0.90325,0.11248431390277677,0.9095394736842105,0.7328767123287672,0.8699186991869918,0.7955390334572491
17,0.905625,0.11331762667255955,0.899671052631579,0.7397260273972602,0.8244274809160306,0.7797833935018051
18,0.90275,0.11297856578197582,0.9161184210526315,0.773972602739726,0.8625954198473282,0.8158844765342961
19,0.909125,0.10883958722025938,0.9144736842105263,0.7191780821917808,0.9051724137931034,0.8015267175572519
20,0.91075,0.10730582881015696,0.9095394736842105,0.6917808219178082,0.9099099099099099,0.7859922178988327
21,0.909,0.11063872718824665,0.9210526315789473,0.7397260273972602,0.9152542372881356,0.818181818181818
22,0.91125,0.10407958162248913,0.8980263157894737,0.6027397260273972,0.9565217391304348,0.7394957983193277
23,0.912375,0.10333221994169124,0.9161184210526315,0.7876712328767124,0.8518518518518519,0.8185053380782918
24,0.913,0.10354656748738565,0.9276315789473685,0.7534246575342466,0.9322033898305084,0.8333333333333333
25,0.9165,0.09811728516500663,0.9375,0.7876712328767124,0.9426229508196722,0.8582089552238806
26,0.921875,0.09497155378163406,0.9292763157894737,0.7808219178082192,0.912,0.8413284132841329
27,0.92275,0.09386941263952295,0.9292763157894737,0.815068493150685,0.8814814814814815,0.8469750889679716
28,0.92075,0.09642995781241348,0.9194078947368421,0.6917808219178082,0.9619047619047619,0.804780876494024
29,0.920875,0.09715822747702418,0.9194078947368421,0.6986301369863014,0.9532710280373832,0.8063241106719368
30,0.91975,0.09568046202420102,0.9177631578947368,0.684931506849315,0.9615384615384616,0.7999999999999999
