epoch,train_acc,loss,test_acc,precision,recall,f1
1,0.76,0.2773904650161664,0.7962962962962963,0.0,0.0,0.0
2,0.7773333333333333,0.25167926312486333,0.8333333333333334,0.5906406179009541,0.5906406179009541,0.5856825895181486
3,0.784,0.24270703374346098,0.8611111111111112,0.4997728305315765,0.7328447701532312,0.5894909341665513
4,0.7813333333333333,0.22237577979142467,0.8425925925925926,0.5906406179009541,0.6187529747739171,0.5994137439197832
5,0.788,0.22318178513025244,0.8425925925925926,0.5452067242162653,0.6312467122567069,0.5801491092391583
6,0.784,0.22255140634874504,0.8518518518518519,0.4997728305315765,0.6870705808869456,0.5738080783314229
7,0.7906666666666666,0.2192643551727136,0.8518518518518519,0.5452067242162653,0.6662965019433648,0.594790624210476
8,0.792,0.21635142656664053,0.8611111111111112,0.6815084052703316,0.651890482398957,0.6614101696055421
9,0.7786666666666666,0.2183255523238331,0.8611111111111112,0.5906406179009541,0.6838506049447659,0.6289026140041307
10,0.7826666666666666,0.2210421554222703,0.8240740740740741,0.5452067242162653,0.5711565920990004,0.5529271241032891
11,0.7893333333333333,0.22295024953782558,0.8240740740740741,0.6360745115856429,0.5597760895641744,0.5905529299024926
12,0.7906666666666666,0.21711262293656666,0.8425925925925926,0.5452067242162653,0.6312467122567069,0.5801491092391583
13,0.8026666666666666,0.21917940442015726,0.8425925925925926,0.40890504316219894,0.6917755572636434,0.5093642834726562
14,0.7906666666666666,0.21406953674430648,0.8518518518518519,0.5906406179009541,0.6496751624187905,0.6138042011559781
15,0.7813333333333333,0.21797098409384488,0.8518518518518519,0.40890504316219894,0.7493755203996669,0.5245716466933151
16,0.78,0.21790850146859883,0.8518518518518519,0.4997728305315765,0.6870705808869456,0.5738080783314229
17,0.788,0.21662150134394567,0.7962962962962963,0.045433893684688774,0.49751243781094534,0.08175812341560422
18,0.8,0.21410482793177169,0.8425925925925926,0.5452067242162653,0.6312467122567069,0.5801491092391583
19,0.7906666666666666,0.22201897543420393,0.8425925925925926,0.4997728305315765,0.6466784244562022,0.558938053359788
20,0.7946666666666666,0.2211191147690018,0.8518518518518519,0.5906406179009541,0.6496751624187905,0.6138042011559781
21,0.7906666666666666,0.22941618648916484,0.7962962962962963,0.045433893684688774,0.49751243781094534,0.08175812341560422
22,0.7906666666666666,0.22391977314154307,0.8425925925925926,0.4997728305315765,0.6466784244562022,0.558938053359788
23,0.7893333333333333,0.21817295526588956,0.8425925925925926,0.31803725579282144,0.7769145394006659,0.4472371902038754
24,0.792,0.2193918679455916,0.8333333333333334,0.5906406179009541,0.5906406179009541,0.5856825895181486
25,0.796,0.21861904817322889,0.8148148148148148,0.6360745115856429,0.5382545174932718,0.5781669973749936
26,0.7906666666666666,0.21839439905186495,0.8055555555555556,0.7269422989550204,0.5159625927120284,0.598728659797664
27,0.784,0.2179314334044854,0.8148148148148148,0.13630168105406631,0.7481296758104738,0.22801376914348184
28,0.8026666666666666,0.21892079698542755,0.8333333333333334,0.45433893684688775,0.6246096189881324,0.521208221848089
29,0.78,0.22869835828104987,0.8518518518518519,0.4997728305315765,0.6870705808869456,0.5738080783314229
30,0.788,0.21901213427136343,0.8518518518518519,0.40890504316219894,0.7493755203996669,0.5245716466933151
