epoch,train_acc,loss,test_acc,precision,recall,f1
1,0.6022222222222222,0.32337791079034406,0.6822916666666666,0.5233644859813084,0.8484848484848485,0.6473988439306357
2,0.6722222222222223,0.29392626397415167,0.6979166666666666,0.514018691588785,0.9016393442622951,0.6547619047619048
3,0.6966666666666667,0.28073694344126426,0.578125,0.24299065420560748,1.0,0.39097744360902253
4,0.6833333333333333,0.2902683861675258,0.6822916666666666,0.45794392523364486,0.9423076923076923,0.6163522012578617
5,0.6911111111111111,0.2767029713542676,0.6927083333333334,0.5046728971962616,0.9,0.6467065868263473
6,0.6966666666666667,0.2818932737155248,0.671875,0.4205607476635514,0.9782608695652174,0.588235294117647
7,0.6955555555555556,0.27811449415435163,0.671875,0.5514018691588785,0.7972972972972973,0.6519337016574585
8,0.6988888888888889,0.2772037385147996,0.609375,0.29906542056074764,1.0,0.46043165467625896
9,0.6966666666666667,0.28198131056118303,0.6927083333333334,0.5327102803738317,0.8636363636363636,0.6589595375722543
10,0.6911111111111111,0.283812420756472,0.6770833333333334,0.5514018691588785,0.8082191780821918,0.6555555555555554
11,0.6844444444444444,0.2829626455242073,0.6458333333333334,0.6448598130841121,0.696969696969697,0.6699029126213593
12,0.6966666666666667,0.2826808927104705,0.6770833333333334,0.5887850467289719,0.7777777777777778,0.6702127659574468
13,0.6888888888888889,0.27730184123709883,0.703125,0.4953271028037383,0.9464285714285714,0.6503067484662577
14,0.6911111111111111,0.2732370002640204,0.5729166666666666,0.2336448598130841,1.0,0.3787878787878788
15,0.7133333333333334,0.2683864561395765,0.6979166666666666,0.5887850467289719,0.8181818181818182,0.6847826086956521
16,0.7322222222222222,0.26141236475364876,0.6927083333333334,0.5233644859813084,0.875,0.654970760233918
17,0.7322222222222222,0.2600633103339351,0.6875,0.6074766355140186,0.7831325301204819,0.6842105263157895
18,0.7166666666666667,0.26350357152530096,0.6979166666666666,0.5514018691588785,0.855072463768116,0.6704545454545454
19,0.7277777777777777,0.26287060921411065,0.7083333333333334,0.6822429906542056,0.7684210526315789,0.7227722772277226
20,0.7288888888888889,0.2534843963977376,0.734375,0.6355140186915887,0.85,0.7272727272727272
21,0.73,0.2587142594082232,0.6458333333333334,0.37383177570093457,0.975609756097561,0.5405405405405405
22,0.7466666666666667,0.24448945016398752,0.703125,0.48598130841121495,0.9629629629629629,0.6459627329192547
23,0.7544444444444445,0.2384225864789207,0.6927083333333334,0.514018691588785,0.8870967741935484,0.6508875739644969
24,0.7466666666666667,0.23893752489320194,0.6875,0.4672897196261682,0.9433962264150944,0.625
25,0.75,0.24209001357331644,0.71875,0.5233644859813084,0.9491525423728814,0.6746987951807228
26,0.76,0.23158313486388782,0.75,0.6915887850467289,0.8314606741573034,0.7551020408163265
27,0.7555555555555555,0.22918983107264568,0.6979166666666666,0.5420560747663551,0.8656716417910447,0.6666666666666666
28,0.7511111111111111,0.22907021863579277,0.75,0.7102803738317757,0.8172043010752689,0.76
29,0.7522222222222222,0.2376566012262376,0.71875,0.5514018691588785,0.9076923076923077,0.686046511627907
30,0.7711111111111111,0.2259258079490165,0.765625,0.7476635514018691,0.8163265306122449,0.7804878048780487
