epoch,train_acc,loss,test_acc,precision,recall,f1
1,0.7176470588235294,0.26798834295510243,0.859375,0.25,1.0,0.4
2,0.82,0.20978561581871838,0.578125,1.0,0.3076923076923077,0.47058823529411764
3,0.8117647058823529,0.22093022398216325,0.84375,0.4166666666666667,0.625,0.5
4,0.7988235294117647,0.22856035158225568,0.890625,0.8333333333333334,0.6666666666666666,0.7407407407407408
5,0.8752941176470588,0.18141233752151842,0.9375,0.6666666666666666,1.0,0.8
6,0.9152941176470588,0.15319861027406323,0.953125,0.9166666666666666,0.8461538461538461,0.8799999999999999
7,0.9329411764705883,0.12421384990177768,0.953125,0.9166666666666666,0.8461538461538461,0.8799999999999999
8,0.9470588235294117,0.08969177258169324,0.984375,1.0,0.9230769230769231,0.9600000000000001
9,0.951764705882353,0.0896016098873771,0.96875,0.9166666666666666,0.9166666666666666,0.9166666666666666
10,0.951764705882353,0.0785802381124926,0.984375,1.0,0.9230769230769231,0.9600000000000001
11,0.9541176470588235,0.07934034585553555,0.984375,0.9166666666666666,1.0,0.9565217391304348
12,0.9576470588235294,0.06837780556720839,0.984375,0.9166666666666666,1.0,0.9565217391304348
13,0.9411764705882353,0.09334684779911681,0.96875,0.9166666666666666,0.9166666666666666,0.9166666666666666
14,0.9482352941176471,0.09210454822362933,0.984375,0.9166666666666666,1.0,0.9565217391304348
15,0.9458823529411765,0.0919062903610663,0.984375,0.9166666666666666,1.0,0.9565217391304348
16,0.9541176470588235,0.07080212063236825,0.984375,0.9166666666666666,1.0,0.9565217391304348
17,0.9529411764705882,0.08485978398167324,0.984375,0.9166666666666666,1.0,0.9565217391304348
18,0.9482352941176471,0.09111537189747497,0.984375,0.9166666666666666,1.0,0.9565217391304348
19,0.9576470588235294,0.07051427766748247,0.984375,1.0,0.9230769230769231,0.9600000000000001
20,0.9494117647058824,0.09708110957933716,0.890625,0.4166666666666667,1.0,0.5882352941176471
21,0.951764705882353,0.06843229807293608,0.96875,0.9166666666666666,0.9166666666666666,0.9166666666666666
22,0.96,0.07289877475924512,0.96875,1.0,0.8571428571428571,0.923076923076923
23,0.951764705882353,0.083082926904901,0.984375,0.9166666666666666,1.0,0.9565217391304348
24,0.9458823529411765,0.08404778398845471,0.984375,1.0,0.9230769230769231,0.9600000000000001
25,0.9541176470588235,0.0652668020339521,0.9375,0.9166666666666666,0.7857142857142857,0.8461538461538461
26,0.9564705882352941,0.08477113946006498,0.984375,1.0,0.9230769230769231,0.9600000000000001
27,0.9576470588235294,0.0710127470690861,0.984375,0.9166666666666666,1.0,0.9565217391304348
28,0.9435294117647058,0.08406518949426046,0.984375,0.9166666666666666,1.0,0.9565217391304348
29,0.9305882352941176,0.10268974292726199,0.875,0.3333333333333333,1.0,0.5
30,0.9564705882352941,0.09070773089811732,0.890625,0.4166666666666667,1.0,0.5882352941176471
